#,Brand,Industry,Times Advertised,Unique Profiles,Decision Maker,Role,Email,Influencer1,Role,Email,Influencer2,Role,Email,Influencer3,Role,Email,Influencer4,Role,Email,Variants Merged,All Variants
1477.0,Cavallo di Mare,Fashion,17.0,9.0,,,,,,,,,,,,,,,,2.0,Cavallo di Mare | Cavallo di Mare Jewellery
1478.0,OnSkin Cosmetics,Beauty,17.0,12.0,,,,,,,,,,,,,,,,2.0,OnSkin Cosmetics | Onskin
1479.0,Marshall,Audio Equipment,17.0,11.0,,,,,,,,,,,,,,,,3.0,Marshall | Marshall Label | Marshalls
1480.0,Neapolis University Pafos,Education,17.0,7.0,,,,,,,,,,,,,,,,2.0,Neapolis University Pafos | Neapolis University Paphos
1481.0,Amazing Dio,Entertainment,17.0,4.0,,,,,,,,,,,,,,,,2.0,Amazing Dio | Amazing Dio / Mind Games Adult Entertainment
1482.0,SANTE,Fashion,17.0,14.0,,,,,,,,,,,,,,,,2.0,SANTE | Sante Shoes
1483.0,Oner Active,Apparel,17.0,9.0,,,,,,,,,,,,,,,,1.0,
1484.0,Oxy Publications,Book Publishing,17.0,2.0,,,,,,,,,,,,,,,,1.0,
1485.0,Piatsa Kalamaki,Food,17.0,3.0,,,,,,,,,,,,,,,,1.0,
1486.0,Medela,Baby & Maternity Products,17.0,5.0,,,,,,,,,,,,,,,,1.0,
1487.0,Melloncollection,Fashion,17.0,8.0,,,,,,,,,,,,,,,,1.0,
1488.0,r.e.m. beauty,Beauty,17.0,14.0,,,,,,,,,,,,,,,,1.0,
1489.0,Replay,Apparel and Fashion,17.0,11.0,,,,,,,,,,,,,,,,1.0,
1490.0,RIO Mare,Food,17.0,15.0,,,,,,,,,,,,,,,,1.0,
1491.0,Nakas Concept,Business,17.0,1.0,,,,,,,,,,,,,,,,1.0,
1492.0,Stoli Vodka,Alcohol,17.0,10.0,,,,,,,,,,,,,,,,1.0,
1493.0,Swiffer,Cleaning Products,17.0,16.0,,,,,,,,,,,,,,,,1.0,
1494.0,The Angel,Baby / Infant Products,17.0,11.0,,,,,,,,,,,,,,,,1.0,
1495.0,Gold Touch Nutrition,Health & Nutrition,17.0,9.0,,,,,,,,,,,,,,,,2.0,Gold Touch Nutrition | GoldTouch Nutrition
1496.0,Michelin,Automotive,17.0,11.0,,,,,,,,,,,,,,,,2.0,Michelin | Michelin Guide
1497.0,Santorini Secret,Hospitality,17.0,4.0,,,,,,,,,,,,,,,,2.0,Santorini Secret | Santorini Secret Suites & Spa
1498.0,Jasmine Living,Fashion,17.0,4.0,,,,,,,,,,,,,,,,2.0,Jasmine Living | Jasmineliving
1499.0,The Inkey List,Beauty,17.0,12.0,,,,,,,,,,,,,,,,1.0,
1500.0,Pharmacy Discount,Retail,17.0,13.0,,,,,,,,,,,,,,,,2.0,Pharmacy Discount | PharmacyDiscount.gr
1501.0,Manessis Travel,Travel,17.0,5.0,,,,,,,,,,,,,,,,1.0,
1502.0,Spiro Ceramics,Art,17.0,1.0,,,,,,,,,,,,,,,,1.0,
1503.0,Some By Mi,Beauty,17.0,13.0,,,,,,,,,,,,,,,,1.0,
1504.0,Eleonora Zouganeli,Music,17.0,2.0,,,,,,,,,,,,,,,,1.0,
1505.0,PRIME Hydration,Beverage,17.0,10.0,,,,,,,,,,,,,,,,1.0,
1506.0,Electroline,Consumer Electronics Retail,17.0,2.0,,,,,,,,,,,,,,,,1.0,
1507.0,AMD,Computer Hardware,17.0,8.0,,,,,,,,,,,,,,,,1.0,
1508.0,SKINNSYSTEM,Beauty,17.0,6.0,,,,,,,,,,,,,,,,2.0,SKINNSYSTEM | Skin System
1509.0,Origins,Beauty,17.0,16.0,,,,,,,,,,,,,,,,2.0,Origins | Origins Skincare
1510.0,Rodopaki,Food & Beverage,17.0,13.0,,,,,,,,,,,,,,,,2.0,Rodopaki | Rodopaki (Ροδοπάκι)
1511.0,Rizes Fest,Entertainment,17.0,3.0,,,,,,,,,,,,,,,,2.0,Rizes Fest | Rizes Festival
1512.0,AEK BC,Sports,17.0,4.0,,,,,,,,,,,,,,,,1.0,
1513.0,ARAMANE BEAUTY,Beauty,17.0,14.0,,,,,,,,,,,,,,,,2.0,ARAMANE BEAUTY | Aramane
1514.0,Celia Kritharioti,Fashion,17.0,13.0,,,,,,,,,,,,,,,,1.0,
1515.0,Supergoop!,Beauty,17.0,4.0,,,,,,,,,,,,,,,,2.0,Supergoop | Supergoop!
1516.0,Babylino,Baby Care,17.0,8.0,,,,,,,,,,,,,,,,1.0,
1517.0,Base & Top,Beauty,17.0,4.0,,,,,,,,,,,,,,,,1.0,
1518.0,Braxton,Dining & Hospitality,17.0,12.0,,,,,,,,,,,,,,,,1.0,
1519.0,thetravelcrew.gr,Travel,16.0,2.0,,,,,,,,,,,,,,,,1.0,
1520.0,Praktiker,Home Improvement,16.0,12.0,,,,,,,,,,,,,,,,2.0,Praktiker | Praktiker Hellas
1521.0,Vogue,Fashion,16.0,16.0,,,,,,,,,,,,,,,,2.0,Vogue | Vogue Greece
1522.0,Sea-Doo,Automotive,16.0,5.0,,,,,,,,,,,,,,,,1.0,
1523.0,Pokémon,Entertainment,16.0,12.0,,,,,,,,,,,,,,,,1.0,
1524.0,Proderm,Baby Care,16.0,8.0,,,,,,,,,,,,,,,,1.0,
1525.0,Razou Collection,Fashion,16.0,3.0,,,,,,,,,,,,,,,,1.0,
1526.0,Sankara Magic,Entertainment,16.0,1.0,,,,,,,,,,,,,,,,1.0,
1527.0,Haribo,Confectionery,16.0,16.0,,,,,,,,,,,,,,,,1.0,
1528.0,Hobos Street Grill,Food,16.0,14.0,,,,,,,,,,,,,,,,1.0,
1529.0,Weekday,Fashion,16.0,10.0,,,,,,,,,,,,,,,,1.0,
1530.0,ZMAK,Entertainment,16.0,3.0,,,,,,,,,,,,,,,,1.0,
1531.0,Mich Organics,Beauty,16.0,5.0,,,,,,,,,,,,,,,,2.0,Mich Organics | MichOrganics
1532.0,Surf Club Keros,Sports,16.0,8.0,,,,,,,,,,,,,,,,1.0,
1533.0,Nexi,Finance,16.0,4.0,,,,,,,,,,,,,,,,1.0,
1534.0,Nerdom,Collectibles & Retail,16.0,2.0,,,,,,,,,,,,,,,,1.0,
1535.0,Negrita Mykonos,Entertainment,16.0,1.0,,,,,,,,,,,,,,,,1.0,
1536.0,Soundis,Entertainment,16.0,7.0,,,,,,,,,,,,,,,,2.0,Soundis | Soundis.gr
1537.0,Solmeister,Entertainment,16.0,3.0,,,,,,,,,,,,,,,,1.0,
1538.0,Simply Organic,Food,16.0,2.0,,,,,,,,,,,,,,,,1.0,
1539.0,Vibrant Beauty,Beauty,16.0,12.0,,,,,,,,,,,,,,,,1.0,
1540.0,Corks & Forks,Food,16.0,8.0,,,,,,,,,,,,,,,,2.0,Corks & Forks | Corks & Forks Wine Pub
1541.0,Hatzianestis,Beauty,16.0,2.0,,,,,,,,,,,,,,,,2.0,Hatzianestis | Hatzianestis Cutz
1542.0,Koukou Project,Entertainment / Hospitality,16.0,4.0,,,,,,,,,,,,,,,,2.0,KOUKOU PROJECT SKG | Koukou Project
1543.0,Zuccherino,Dessert / Confectionery,16.0,15.0,,,,,,,,,,,,,,,,1.0,
1544.0,Top Smile,Aesthetic Dentistry,16.0,2.0,,,,,,,,,,,,,,,,1.0,
1545.0,Vasiliki World,Fashion,16.0,5.0,,,,,,,,,,,,,,,,1.0,
1546.0,Phos Kitchenware,Food,16.0,9.0,,,,,,,,,,,,,,,,1.0,
1547.0,Orini Melissa,Food,16.0,5.0,,,,,,,,,,,,,,,,2.0,Orini Melissa | Orinimelissa
1548.0,Admiral,Apparel / Sporting Goods,16.0,11.0,,,,,,,,,,,,,,,,1.0,
1549.0,A-Derma,Beauty,16.0,13.0,,,,,,,,,,,,,,,,1.0,
1550.0,MOEHA,Beauty,16.0,6.0,,,,,,,,,,,,,,,,1.0,
1551.0,Max Fitness,Fitness,16.0,4.0,,,,,,,,,,,,,,,,1.0,
1552.0,Marseaux,Entertainment,16.0,5.0,,,,,,,,,,,,,,,,1.0,
1553.0,Paris Roupos,Entertainment,16.0,3.0,,,,,,,,,,,,,,,,1.0,
1554.0,P for Pelion,Beauty,16.0,9.0,,,,,,,,,,,,,,,,1.0,
1555.0,NVIDIA,Computer Hardware,16.0,13.0,,,,,,,,,,,,,,,,1.0,
1556.0,NRG,Business,16.0,11.0,,,,,,,,,,,,,,,,1.0,
1557.0,Laura Mercier,Beauty,16.0,15.0,,,,,,,,,,,,,,,,1.0,
1558.0,Kerrygold,Dairy,16.0,8.0,,,,,,,,,,,,,,,,1.0,
1559.0,Jacobs,Food,16.0,13.0,,,,,,,,,,,,,,,,1.0,
1560.0,NaSco,Construction / Renovation,16.0,1.0,,,,,,,,,,,,,,,,1.0,
1561.0,MrPhone.gr,Electronics Retail,16.0,3.0,,,,,,,,,,,,,,,,1.0,
1562.0,Motokinisi,Automotive,16.0,3.0,,,,,,,,,,,,,,,,1.0,
1563.0,Moozess Jewels,Fashion,16.0,9.0,,,,,,,,,,,,,,,,1.0,
1564.0,Godgilla Umami Street Food,Food,16.0,15.0,,,,,,,,,,,,,,,,1.0,
1565.0,Gelatelli,Food,16.0,10.0,,,,,,,,,,,,,,,,1.0,
1566.0,Gaya Athens,Entertainment,16.0,11.0,,,,,,,,,,,,,,,,1.0,
1567.0,Manos Haute Coiffure,Beauty,16.0,6.0,,,,,,,,,,,,,,,,1.0,
1568.0,Lupilu,Baby and Child Products,16.0,2.0,,,,,,,,,,,,,,,,1.0,
1569.0,Love Generation,Entertainment,16.0,9.0,,,,,,,,,,,,,,,,1.0,
1570.0,Liposan,Beauty,16.0,15.0,,,,,,,,,,,,,,,,1.0,
1571.0,ELA BET,Gambling,16.0,5.0,,,,,,,,,,,,,,,,1.0,
1572.0,Don Julio Tequila,Alcohol / Spirits,16.0,12.0,,,,,,,,,,,,,,,,1.0,
1573.0,Dioptra Publishing,Art,16.0,11.0,,,,,,,,,,,,,,,,1.0,
1574.0,Bombay Sapphire,Alcohol,16.0,12.0,,,,,,,,,,,,,,,,1.0,
1575.0,Ladylike.gr,Entertainment / Media,16.0,4.0,,,,,,,,,,,,,,,,2.0,LadyLike | Ladylike.gr
1576.0,Sweed Beauty,Beauty,16.0,11.0,,,,,,,,,,,,,,,,2.0,Sweed | Sweed Beauty
1577.0,EA Sports,Gaming,16.0,13.0,,,,,,,,,,,,,,,,3.0,EA Sports | EA Sports FC | EA Sports FC 26
1578.0,easyRENTAL,Automotive,16.0,6.0,,,,,,,,,,,,,,,,2.0,Easy Rental | easyRENTAL
1579.0,Pioneer DJ,Audio Electronics,16.0,13.0,,,,,,,,,,,,,,,,1.0,
1580.0,VT Cosmetics,Beauty,16.0,11.0,,,,,,,,,,,,,,,,1.0,
1581.0,Vital Proteins,Health,16.0,13.0,,,,,,,,,,,,,,,,1.0,
1582.0,Violife,Dairy Alternatives,16.0,6.0,,,,,,,,,,,,,,,,1.0,
1583.0,Blockchain Summit,Events / Conferences,16.0,4.0,,,,,,,,,,,,,,,,2.0,BLOCKCHAIN SUMMIT 2025 | Blockchain Summit
1584.0,AFIS,Sustainability,16.0,16.0,,,,,,,,,,,,,,,,2.0,AFIS | AFIS (ΑΦΗΣ)
1585.0,THERMOGATZ,Home Appliances,16.0,2.0,,,,,,,,,,,,,,,,2.0,THERMOGATZ | Thermo Gatz
1586.0,Gan Boutique,Fashion,16.0,2.0,,,,,,,,,,,,,,,,1.0,
1587.0,Best Wallet,Finance,16.0,2.0,,,,,,,,,,,,,,,,1.0,
1588.0,Christina Zafeiriou Couture,Fashion,16.0,8.0,,,,,,,,,,,,,,,,1.0,
1589.0,Bed & Bath,Home,16.0,13.0,,,,,,,,,,,,,,,,1.0,
1590.0,Barbour,Apparel,16.0,12.0,,,,,,,,,,,,,,,,1.0,
1591.0,ASUS,Computer Hardware,16.0,9.0,,,,,,,,,,,,,,,,1.0,
1592.0,Pizza Magic Kamilari,Food / Restaurant,16.0,2.0,,,,,,,,,,,,,,,,2.0,Pizza Magic | Pizza Magic Kamilari
1593.0,Xtended Studios,Beauty,16.0,8.0,,,,,,,,,,,,,,,,2.0,Xtended Studios | Xtented Studios
1594.0,Andromache,Music,16.0,4.0,,,,,,,,,,,,,,,,2.0,Andromache | Andromachi Salon
1595.0,Nidodileda,Fashion,16.0,13.0,,,,,,,,,,,,,,,,2.0,Nido di Leda | Nidodileda
1596.0,Mosaik Stores,Retail,16.0,12.0,,,,,,,,,,,,,,,,2.0,Mosaik | Mosaik Stores
1597.0,ENA Athletics,Apparel and Footwear,16.0,5.0,,,,,,,,,,,,,,,,1.0,
1598.0,Emelia,Food,16.0,6.0,,,,,,,,,,,,,,,,1.0,
1599.0,Ancho Mexican Grill,Food,16.0,16.0,,,,,,,,,,,,,,,,1.0,
1600.0,Eleftheria Eleftheriou,Entertainment,16.0,4.0,,,,,,,,,,,,,,,,1.0,
1601.0,AEG,Home,16.0,14.0,,,,,,,,,,,,,,,,1.0,
1602.0,Contessa Fashion,Fashion,16.0,1.0,,,,,,,,,,,,,,,,1.0,
1603.0,Athens Sailing,Travel,16.0,15.0,,,,,,,,,,,,,,,,1.0,
1604.0,KYANN,Fashion,16.0,8.0,,,,,,,,,,,,,,,,2.0,KYANN | Kyann Collections
1605.0,Trilogy Clothing,Fashion,16.0,8.0,,,,,,,,,,,,,,,,2.0,Trilogy | Trilogy Clothing
1606.0,Uniko,Real Estate,16.0,10.0,,,,,,,,,,,,,,,,2.0,Uniko | Uniko.gr
1607.0,iLashes Athens,Beauty,16.0,2.0,,,,,,,,,,,,,,,,2.0,iLashes Athens | ilashes_athens
1608.0,Dandelion Adamou,Fashion,16.0,5.0,,,,,,,,,,,,,,,,2.0,Dandelion Adamou | Dandelion_adamou
1609.0,Benaki Museum,Art,16.0,5.0,,,,,,,,,,,,,,,,2.0,Benaki Museum | Benaki Museum Shop
1610.0,etairating,Business,16.0,8.0,,,,,,,,,,,,,,,,2.0,EtaiRating.gr | etairating
1611.0,Bodify,Health,15.0,4.0,,,,,,,,,,,,,,,,2.0,Bodify | Bodify.gr
1612.0,Velocity,Fashion,15.0,5.0,,,,,,,,,,,,,,,,1.0,
1613.0,eFantasy,Entertainment,15.0,5.0,,,,,,,,,,,,,,,,2.0,eFantasy | eFantasy.gr
1614.0,Jumbo Snacks,Food,15.0,3.0,,,,,,,,,,,,,,,,1.0,
1615.0,Gamma.app,Technology,15.0,13.0,,,,,,,,,,,,,,,,3.0,Gamma | Gamma+ | Gamma.app
1616.0,Joy Tours,Travel,15.0,6.0,,,,,,,,,,,,,,,,1.0,
1617.0,Reebok,Apparel,15.0,10.0,,,,,,,,,,,,,,,,1.0,
1618.0,Baby Bloom,Fashion,15.0,5.0,,,,,,,,,,,,,,,,2.0,Baby Bloom | Baby Bloom Collection
1619.0,ΗΠΕΙΡΟΣ,Dairy / Food,15.0,15.0,,,,,,,,,,,,,,,,2.0,ΗΠΕΙΡΟΣ | ΗΠΕΙΡΟΣ (Epiros)
1620.0,ToFarmakeioMou,Business,15.0,14.0,,,,,,,,,,,,,,,,2.0,ToFarmakeioMou | ToFarmakeioMou.gr
1621.0,Katerina Vergeti Dental Clinic,Dentistry,15.0,2.0,,,,,,,,,,,,,,,,2.0,Katerina Vergeti | Katerina Vergeti Dental Clinic
1622.0,Angelique Hair Boutique,Fashion,15.0,4.0,,,,,,,,,,,,,,,,3.0,Angel Store | Angelique Hair Boutique | Angels Boutique
1623.0,MAKKON,Fashion,15.0,3.0,,,,,,,,,,,,,,,,2.0,MAKKON | Makkon Jewels
1624.0,Nea Dimokratia,Politics,15.0,12.0,,,,,,,,,,,,,,,,2.0,Nea Demokratia | Nea Dimokratia
1625.0,Mounir,Beauty,15.0,2.0,,,,,,,,,,,,,,,,1.0,
1626.0,Moschino,Fashion,15.0,11.0,,,,,,,,,,,,,,,,1.0,
1627.0,Market In,Food,15.0,4.0,,,,,,,,,,,,,,,,1.0,
1628.0,SantAnna Mykonos,Entertainment,15.0,8.0,,,,,,,,,,,,,,,,1.0,
1629.0,Tanpire,Beauty,15.0,12.0,,,,,,,,,,,,,,,,1.0,
1630.0,Nikiforos Vithoulkas,Entertainment,15.0,3.0,,,,,,,,,,,,,,,,1.0,
1631.0,NUK,Baby and Child Care,15.0,8.0,,,,,,,,,,,,,,,,1.0,
1632.0,ofarmakopoiosmou.gr,Business,15.0,10.0,,,,,,,,,,,,,,,,1.0,
1633.0,PCSTEPS,Digital Media / Education,15.0,2.0,,,,,,,,,,,,,,,,1.0,
1634.0,Orsalios,Music,15.0,3.0,,,,,,,,,,,,,,,,1.0,
1635.0,Ohonos Snack,Food,15.0,3.0,,,,,,,,,,,,,,,,1.0,
1636.0,Polo Ralph Lauren,Apparel / Fashion,15.0,12.0,,,,,,,,,,,,,,,,1.0,
1637.0,Lorvenn,Beauty,15.0,11.0,,,,,,,,,,,,,,,,1.0,
1638.0,Veganuary,Environmental / Lifestyle Campaign,15.0,2.0,,,,,,,,,,,,,,,,1.0,
1639.0,Up Hellas,Employee Benefits,15.0,8.0,,,,,,,,,,,,,,,,1.0,
1640.0,Tokyo Theater Athens,Entertainment,15.0,5.0,,,,,,,,,,,,,,,,1.0,
1641.0,Revel,Fashion,15.0,7.0,,,,,,,,,,,,,,,,3.0,Revel | Revel.gr | Revé
1642.0,GRÉS,Fashion,15.0,6.0,,,,,,,,,,,,,,,,2.0,GRÉS | Gres Collections
1643.0,Rookie,Fast Casual Restaurant,15.0,10.0,,,,,,,,,,,,,,,,1.0,
1644.0,MANCODE,Lifestyle,15.0,1.0,,,,,,,,,,,,,,,,1.0,
1645.0,Pizza Hut,Fast Food,15.0,14.0,,,,,,,,,,,,,,,,1.0,
1646.0,Solgar,Dietary Supplements,15.0,10.0,,,,,,,,,,,,,,,,1.0,
1647.0,VITALINE,Food,15.0,11.0,,,,,,,,,,,,,,,,1.0,
1648.0,Storgi.gr,Retail,15.0,9.0,,,,,,,,,,,,,,,,2.0,Storgi | Storgi.gr
1649.0,BIC,Art Supplies,15.0,13.0,,,,,,,,,,,,,,,,1.0,
1650.0,Calma Spa,Beauty,15.0,3.0,,,,,,,,,,,,,,,,2.0,Calma | Calma Spa
1651.0,Blue Star Ferries,Ferry Operator,15.0,13.0,,,,,,,,,,,,,,,,1.0,
1652.0,Antithesis Clothing,Fashion,15.0,2.0,,,,,,,,,,,,,,,,1.0,
1653.0,Cult Crew,Bicycle Components,15.0,2.0,,,,,,,,,,,,,,,,1.0,
1654.0,Βιτάμ (Vitam),Food,15.0,12.0,,,,,,,,,,,,,,,,2.0,Βιτάμ | Βιτάμ (Vitam)
1655.0,Malezas Crew - Copy Trading,Financial Services,15.0,4.0,,,,,,,,,,,,,,,,2.0,Malezas Crew - Copy Trading | Malezas Crew - Copy Trading / Scramble
1656.0,AORUS,Technology,15.0,10.0,,,,,,,,,,,,,,,,2.0,AORUS | Aorus (GIGABYTE)
1657.0,Baby Llama,Home,15.0,5.0,,,,,,,,,,,,,,,,2.0,Baby Llama | Babyllama
1658.0,K-SECRET,Beauty,15.0,7.0,,,,,,,,,,,,,,,,1.0,
1659.0,Just the 2 of Us (J2US),Entertainment,15.0,13.0,,,,,,,,,,,,,,,,1.0,
1660.0,Five Fashion,Fashion,15.0,4.0,,,,,,,,,,,,,,,,2.0,Five Fashion | Fiverr
1661.0,By Nelli,Interior Design,15.0,4.0,,,,,,,,,,,,,,,,2.0,By Nelli | By Nelli (Dimitra Nelli)
1662.0,Wrangler,Apparel,15.0,8.0,,,,,,,,,,,,,,,,1.0,
1663.0,Koukoutsa.gr,Retail,15.0,2.0,,,,,,,,,,,,,,,,2.0,Koukoutsa | Koukoutsa.gr
1664.0,La Route Jewelry,Fashion,15.0,3.0,,,,,,,,,,,,,,,,1.0,
1665.0,Comfort,Fashion,15.0,8.0,,,,,,,,,,,,,,,,2.0,Comfort | comfort.com.gr
1666.0,KOUVELOS ELITE HAIR SALON,Beauty,15.0,9.0,,,,,,,,,,,,,,,,2.0,KOUVELOS ELITE HAIR SALON | Kouvelos Hair Salon
1667.0,KNOWCRUNCH,Business,15.0,7.0,,,,,,,,,,,,,,,,1.0,
1668.0,Πλαίσιο (Plaisio),Retail,15.0,5.0,,,,,,,,,,,,,,,,1.0,
1669.0,Absolute Mykonos,Hospitality,15.0,5.0,,,,,,,,,,,,,,,,2.0,Absolute Mykonos | Absolute Mykonos Suites & More
1670.0,Karma's Market & Coffee,Food & Beverage,15.0,2.0,,,,,,,,,,,,,,,,1.0,
1671.0,TheLady.gr,Apparel & Accessories,15.0,7.0,,,,,,,,,,,,,,,,1.0,
1672.0,The Body Shop,Beauty,15.0,14.0,,,,,,,,,,,,,,,,1.0,
1673.0,Zoniou,Beauty,15.0,12.0,,,,,,,,,,,,,,,,1.0,
1674.0,VESTART,Art / Creative Services,15.0,11.0,,,,,,,,,,,,,,,,1.0,
1675.0,Vemily,Music,15.0,2.0,,,,,,,,,,,,,,,,1.0,
1676.0,Plastic Surgery Clinic Dr. Sotirios Ioannidis,Beauty,15.0,2.0,,,,,,,,,,,,,,,,2.0,Plastic Surgery Clinic - Dr. Sotirios Ioannidis | Plastic Surgery Clinic Dr. Sotirios Ioannidis
1677.0,Clear wave,Mobile Application,15.0,10.0,,,,,,,,,,,,,,,,1.0,
1678.0,Crivit,Fashion,15.0,6.0,,,,,,,,,,,,,,,,1.0,
1679.0,Etheleo,Beauty,15.0,9.0,,,,,,,,,,,,,,,,1.0,
1680.0,Euphoria Retreat,Health & Wellness,15.0,2.0,,,,,,,,,,,,,,,,1.0,
1681.0,Godox,Electronics,15.0,9.0,,,,,,,,,,,,,,,,1.0,
1682.0,Akis Petretzikis,Cooking,15.0,8.0,,,,,,,,,,,,,,,,1.0,
1683.0,Allianz,Finance,15.0,7.0,,,,,,,,,,,,,,,,1.0,
1684.0,Herbally,Beauty,15.0,8.0,,,,,,,,,,,,,,,,2.0,Herbally | Herbally.gr
1685.0,Handmade Baby Collection,Baby Products,15.0,6.0,,,,,,,,,,,,,,,,1.0,
1686.0,Hasbro,Entertainment,15.0,13.0,,,,,,,,,,,,,,,,1.0,
1687.0,Hellenic Red Cross,Humanitarian / Health,15.0,5.0,,,,,,,,,,,,,,,,1.0,
1688.0,InMagazin,Entertainment,15.0,2.0,,,,,,,,,,,,,,,,1.0,
1689.0,Celfie & Co,Event Accessories & Jewelry,15.0,6.0,,,,,,,,,,,,,,,,1.0,
1690.0,Procter & Gamble (P&G),Consumer Goods,15.0,14.0,,,,,,,,,,,,,,,,2.0,Procter & Gamble | Procter & Gamble (P&G)
1691.0,Apollonia Politia,Department Store,15.0,6.0,,,,,,,,,,,,,,,,1.0,
1692.0,Pnoi,Jewelry,15.0,9.0,,,,,,,,,,,,,,,,2.0,Pnoi | Pnoi Studio
1693.0,Game On,Gaming,15.0,6.0,,,,,,,,,,,,,,,,3.0,Game On | GameON.gr | GameOn
1694.0,LUCY CLUB,Entertainment / Nightlife,15.0,4.0,,,,,,,,,,,,,,,,2.0,LUCY | LUCY CLUB
1695.0,Guesthouse,Aesthetic Services / Beauty Salon,15.0,3.0,,,,,,,,,,,,,,,,1.0,
1696.0,Mounjaro,Pharmaceuticals,15.0,7.0,,,,,,,,,,,,,,,,2.0,Mounjaro | Mounjaro (Tirzepatide)
1697.0,92.9 Kiss FM,Entertainment,15.0,13.0,,,,,,,,,,,,,,,,4.0,92.9 KISS | 92.9 Kiss FM | 929 KISS | Kiss 92.9
1698.0,Lipton Ice Tea,Beverages,15.0,12.0,,,,,,,,,,,,,,,,2.0,Lipton Ice Tea | Lipton Iced Tea
1699.0,Mykonos Riviera Hotel & Spa,Hospitality,15.0,2.0,,,,,,,,,,,,,,,,2.0,Mykonos Riviera | Mykonos Riviera Hotel & Spa
1700.0,edaily.gr,Entertainment / Digital Media,15.0,2.0,,,,,,,,,,,,,,,,1.0,
1701.0,Ben Tailor,Apparel and Fashion,15.0,9.0,,,,,,,,,,,,,,,,1.0,
1702.0,Hotel Grande Bretagne,Luxury Hotels,15.0,9.0,,,,,,,,,,,,,,,,2.0,"Hotel Grande Bretagne | Hotel Grande Bretagne, Athens"
1703.0,POP.STORE,Technology,15.0,3.0,,,,,,,,,,,,,,,,2.0,POP STORE | POP.STORE
1704.0,Vellora,Beauty,15.0,2.0,,,,,,,,,,,,,,,,1.0,
1705.0,Passion & Coco,Fashion,15.0,4.0,,,,,,,,,,,,,,,,2.0,Passion & Coco | Passion & Coco Clothing
1706.0,attica Department Stores,Fashion,15.0,14.0,,,,,,,,,,,,,,,,1.0,
1707.0,BeastPink,Apparel,15.0,9.0,,,,,,,,,,,,,,,,1.0,
1708.0,Aeolis Tinos Suites,Hospitality,15.0,5.0,,,,,,,,,,,,,,,,1.0,
1709.0,Cap Cap,Food,15.0,7.0,,,,,,,,,,,,,,,,1.0,
1710.0,4all,Convenience Store / Retail,14.0,10.0,,,,,,,,,,,,,,,,2.0,4all | 4all Stores
1711.0,Eurovision Song Contest,Entertainment,14.0,10.0,,,,,,,,,,,,,,,,1.0,
1712.0,EXBERG,Food,14.0,12.0,,,,,,,,,,,,,,,,1.0,
1713.0,AUM Makeup Academy,Beauty,14.0,11.0,,,,,,,,,,,,,,,,2.0,AUM | AUM Makeup Academy
1714.0,Algorithmics,Education,14.0,9.0,,,,,,,,,,,,,,,,2.0,Algorithmics | Algorithmics Greece
1715.0,Therabody,Beauty,14.0,9.0,,,,,,,,,,,,,,,,1.0,
1716.0,Glenn Martens,Fashion,14.0,14.0,,,,,,,,,,,,,,,,1.0,
1717.0,Mant Yachting,Travel,14.0,11.0,,,,,,,,,,,,,,,,2.0,Mant Yachting | Mantyachting
1718.0,Garage 92,Arts,14.0,2.0,,,,,,,,,,,,,,,,1.0,
1719.0,Demolition Parts,Sports Equipment,14.0,3.0,,,,,,,,,,,,,,,,2.0,Demolition | Demolition Parts
1720.0,IEK AKMI,Education,14.0,9.0,,,,,,,,,,,,,,,,1.0,
1721.0,Factory Outlet,Business,14.0,4.0,,,,,,,,,,,,,,,,1.0,
1722.0,FRNC,Fashion,14.0,3.0,,,,,,,,,,,,,,,,1.0,
1723.0,Μασούτης (Masoutis),Retail,14.0,13.0,,,,,,,,,,,,,,,,2.0,Μασούτης | Μασούτης (Masoutis)
1724.0,Vivo,Electronics,14.0,3.0,,,,,,,,,,,,,,,,1.0,
1725.0,Koutsodimas Collection,Jewelry,14.0,5.0,,,,,,,,,,,,,,,,3.0,Koutsodimas Collection | Koutsodimas Collections | koutsodimas_collections
1726.0,Bozikis,Fashion,14.0,4.0,,,,,,,,,,,,,,,,2.0,Bozikis | Bozikis Shoes
1727.0,AEK Athens FC,Sports,14.0,14.0,,,,,,,,,,,,,,,,2.0,AEK Athens F.C. | AEK Athens FC
1728.0,Umberto Giannini,Beauty,14.0,6.0,,,,,,,,,,,,,,,,1.0,
1729.0,United Kind,Apparel and Fashion,14.0,10.0,,,,,,,,,,,,,,,,1.0,
1730.0,Lava Spot,Dessert Shop / Cafe,14.0,2.0,,,,,,,,,,,,,,,,1.0,
1731.0,LC Waikiki,Fashion,14.0,3.0,,,,,,,,,,,,,,,,1.0,
1732.0,Moto Market,Automotive,14.0,7.0,,,,,,,,,,,,,,,,2.0,Moto Market | MotoMarket
1733.0,faceframe.beauty,Beauty,14.0,3.0,,,,,,,,,,,,,,,,3.0,Face Frame Beauty | Faceframe Beauty | faceframe.beauty
1734.0,National Theatre of Greece (Εθνικό Θέατρο),Entertainment,14.0,10.0,,,,,,,,,,,,,,,,3.0,National Theatre of Greece | National Theatre of Greece (Εθνικό Θέατρο) | National Theatre of Northern Greece (KTHBE)
1735.0,Patrón,Alcoholic Beverages,14.0,10.0,,,,,,,,,,,,,,,,2.0,Patreon | Patrón
